 
[*] Checkpoint   = epoch.ckpt
[*] Input video  = trial.mp4
[*] Output video = trial_output.mp4
[✓] Docker image 'segformer' already exists. Skipping build.
[Frame 695] FPS: 5.98
[Frame 696] FPS: 6.05
[Frame 697] FPS: 6.00
[Frame 698] FPS: 5.89
[Frame 699] FPS: 5.03
[Frame 700] FPS: 5.75
[Frame 701] FPS: 6.04
[Frame 702] FPS: 5.81
[Frame 703] FPS: 6.95
[✓] Processed video saved at /home/segformer_docker/seg/trial_output.mp4
